lockmass100,ppm100,lockmass200,ppm200
157.122855,-8.94201599,350.10955,0
179.034435,-6.618818104,,
205.15924,-4.338082039,,
221.081385,-2.872238295,,
227.201104,-2.878500171,,
241.216755,-1.678984018,,
253.216755,-0.80958132,,
255.232405,-0.999087285,,
276.0939,-0.543292341,,
283.263705,-0.194164986,,
302.10955,0,,
326.10955,0.306644903,,
